,site,nf,lenght
0,4ci0_C_Fe_6899_OK,107.872,2504
1,2zvs_C_Fe_1939_OK,128.097,28302
2,1mio_D_Fe_15267_OK,95.2012,3226
3,6bxo_B_Fe_5201_OK,65.3997,1934
4,2fug_P_Fe_73770_OK,30.963,2862
5,1hpi_A_Fe_553_OK,48.1692,712
6,1aor_B_Fe_9452_OK,66.1903,2030
7,4z3w_F_Fe_26534_OK,128.029,15960
8,3cf4_A_Fe_7199_OK,9.36486,678
9,1upx_A_Fe_8405_OK,33.7246,1332
10,1m34_M_Fe_48820_OK,128.048,54545
11,1l5h_A_Fe_7389_OK,97.5964,3205
12,1sb3_E_Fe_18847_OK,128.013,8019
13,4rb4_I_Fe_37493_OK,128.035,10169
14,3k1a_A_Fe_15823_OK,84.3865,3049
15,5t5i_F_Fe_28054_OK,4.26327,921
16,5t5i_F_Fe_28048_OK,4.26327,921
17,5g5h_B_Fe_9138_OK,128.043,8005
18,3gyx_F_Fe_39267_OK,27.3772,1431
19,4y0e_F_Fe_19120_OK,128.021,10848
20,2fl0_G_Fe_10107_OK,128.062,18204
21,1m1n_H_Fe_32368_OK,72.384,3206
22,1e3d_A_Fe_24410_OK,68.5618,2220
23,3ayx_D_Fe_13803_OK,66.8295,2209
24,4wes_C_Fe_15545_OK,41.1102,2464
25,2o01_C_Fe_29585_OK,128.027,59672
26,1jqk_F_Fe_26898_OK,16.1859,932
27,2amu_A_Fe_1060_OK,111.798,2023
28,5vg2_B_Fe_6477_OK,99.0777,5361
29,4ras_A_Fe_15833_OK,4.65256,231
30,3bk7_A_Fe_4735_OK,8.06742,364
31,2vdc_K_Fe_89479_OK,128.046,32449
32,3bk7_A_Fe_4736_OK,8.06742,364
33,5j92_A_Fe_8275_OK,128.048,11794
34,3bfj_C_Fe_57443_OK,128.033,14626
35,1ru3_A_Fe_5764_OK,4.41908,242
36,1m34_K_Fe_48799_OK,80.489,2990
37,3c8f_A_Fe_1932_OK,128.015,27828
38,1gn9_B_Fe_8204_OK,33.7289,1332
39,1h1l_B_Fe_15430_OK,76.4086,3168
40,3v99_A_Fe_10355_OK,36.7496,1611
41,2b3y_A_Fe_13865_OK,74.1866,4181
42,2q4a_A_Fe_5159_OK,128.045,9410
43,3u44_B_Fe_19112_OK,128.01,13380
44,2gmh_B_Fe_9283_OK,47.9543,4884
45,4bmq_A_Fe_4869_OK,89.7315,4129
46,3c8y_A_Fe_4463_OK,46.9095,2702
47,1feh_A_Fe_4481_OK,46.9095,2702
48,2xrx_E_Fe_59142_OK,121.636,3522
49,2fug_3_Fe_73594_OK,128.026,10346
50,1y4t_A_Fe_5005_OK,128.04,60875
51,1m34_A_Fe_48511_OK,80.489,2990
52,2fnq_A_Fe_10429_OK,35.0804,1566
53,1cc1_S_Fe_5880_OK,65.8696,2252
54,4s2a_A_Fe_4531_OK,28.6227,1480
55,1e08_A_Fe_4994_OK,119.356,3549
56,2fug_P_Fe_73777_OK,30.963,2862
57,3szo_B_Fe_4799_OK,128.025,3021
58,1ui0_A_Fe_1519_OK,128.036,12044
59,1dlt_B_Fe_4869_OK,54.9839,1752
60,1frf_S_Fe_6144_OK,61.8297,2308
61,1h76_A_Fe_5264_OK,16.5258,736
62,6o7l_D_Fe_30928_OK,72.3825,3206
63,3hip_B_Fe_1797_OK,52.1639,766
64,5bvg_D_Fe_16383_OK,72.384,3206
65,1ey2_A_Fe_3313_OK,39.7024,1275
66,1isu_B_Fe_891_OK,69.4168,795
67,1c4a_A_Fe_4497_OK,46.9095,2702
68,3t7v_A_Fe_2702_OK,128.042,28582
69,4wna_B_Fe_16090_OK,72.384,3206
70,5t5i_F_Fe_28047_OK,4.26327,921
71,1gt8_C_Fe_31243_OK,4.48843,210
72,5ff3_A_Fe_3250_OK,128.006,38112
73,1kek_B_Fe_18837_OK,14.1296,769
74,3swt_A_Fe_3838_OK,128.017,11777
75,1oao_B_Fe_21888_OK,14.4059,799
76,2vpw_B_Fe_18758_OK,128.027,11772
77,6elq_A_Fe_14317_OK,16.4048,967
78,1m1n_H_Fe_32357_OK,72.384,3206
79,5t5i_N_Fe_28266_OK,1.28142,913
80,1gnl_B_Fe_8310_OK,33.7098,1332
81,1oao_D_Fe_22039_OK,4.48826,242
82,2pt2_A_Fe_2457_OK,128.019,56166
83,2wse_C_Fe_35785_OK,128.026,60230
84,2pda_B_Fe_18846_OK,14.1296,769
85,6elq_B_Fe_14342_OK,16.4048,967
86,2wsf_C_Fe_35360_OK,128.026,60232
87,6cin_F_Fe_53401_OK,15.5242,889
88,4tkv_C_Fe_16560_OK,79.7267,2990
89,1dax_A_Fe_950_OK,128.057,49306
90,3zgn_A_Fe_4791_OK,128.003,3021
91,5v26_B_Fe_2799_OK,69.7225,5651
92,1isu_B_Fe_892_OK,69.4096,796
93,1isu_B_Fe_890_OK,68.3973,783
94,5ean_A_Fe_8617_OK,19.6956,1370
95,1n2c_C_Fe_24299_OK,80.489,2990
96,3cf4_A_Fe_7180_OK,9.2926,664
97,4wes_A_Fe_15494_OK,41.5863,2479
98,5l8r_B_Fe_31972_OK,3.03568,290
99,6btm_B_Fe_18798_OK,24.6067,9497
100,1su6_A_Fe_4656_OK,18.2145,876
101,3r2u_C_Fe_11223_OK,128.035,10376
102,2gmj_B_Fe_9170_OK,47.9543,4884
103,1m34_J_Fe_48761_OK,72.384,3206
104,6o7s_B_Fe_31055_OK,72.3825,3206
105,1gnl_B_Fe_8311_OK,33.7098,1332
106,3lgb_B_Fe_3197_OK,32.1995,782
107,2yiv_X_Fe_10218_OK,18.1858,876
108,3fsn_B_Fe_8350_OK,95.8529,3020
109,3kt1_A_Fe_4558_OK,13.3267,425
110,5iqs_B_Fe_6677_OK,128.02,10369
111,4zlw_E_Fe_10046_OK,128.027,10139
112,2fug_J_Fe_73814_OK,128.031,6526
113,4udx_X_Fe_9514_OK,18.2145,876
114,1oa0_A_Fe_8353_OK,33.7246,1332
115,2hr5_A_Fe_2729_OK,128.06,8780
116,5n6y_B_Fe_16845_OK,95.4619,3177
117,1cc1_S_Fe_5875_OK,65.8696,2252
118,5v4t_B_Fe_3528_OK,128.009,5443
119,1oao_B_Fe_21882_OK,14.4059,800
120,1jnr_D_Fe_12909_OK,32.4975,1937
121,1oqg_A_Fe_2554_OK,128.044,8262
122,4ci0_B_Fe_6892_OK,66.7838,2885
123,1kek_A_Fe_18772_OK,14.1296,769
124,3p4q_N_Fe_16797_OK,128.008,8908
125,5odc_I_Fe_31394_OK,128.059,9885
126,1hlq_C_Fe_1741_OK,55.3342,773
127,1s5l_D_Fe_40030_OK,2.58501,349
128,5n6y_B_Fe_16835_OK,95.4619,3177
129,1gnt_A_Fe_4277_OK,36.1306,1297
130,5odc_G_Fe_31322_OK,0.039133,1
131,1e7p_B_Fe_36789_OK,128.006,8173
132,1ar5_B_Fe_3214_OK,128.008,5288
133,3exy_A_Fe_631_OK,128.014,44859
134,2z8q_B_Fe_1076_OK,128.035,26624
135,1r27_C_Fe_26882_OK,15.4202,3849
136,1kek_A_Fe_18782_OK,14.1296,769
137,5lg8_A_Fe_1449_OK,128.008,8122
138,4ci0_C_Fe_6901_OK,107.872,2505
139,1m34_K_Fe_48800_OK,80.489,2990
140,3or1_D_Fe_14652_OK,14.3641,2591
141,2afh_B_Fe_20340_OK,72.384,3206
142,4ceh_B_Fe_19432_OK,128.021,13124
143,4xk8_a_Fe_63525_OK,3.02734,286
144,1dwl_A_Fe_1221_OK,128.033,27185
145,4xk8_b_Fe_63524_OK,3.01549,289
146,2ynm_C_Fe_11367_OK,106.707,3251
147,2bpi_B_Fe_3206_OK,128.01,5292
148,2vdc_K_Fe_89475_OK,128.046,32449
149,5n6y_D_Fe_16836_OK,88.252,3178
150,4unf_A_Fe_1920_OK,128.047,20949
151,1mio_C_Fe_15266_OK,40.8258,2455
152,2zvs_C_Fe_1938_OK,128.097,28303
153,1dur_A_Fe_389_OK,128.034,12511
154,5xvc_S_Fe_12704_OK,66.3855,2245
155,1gt8_D_Fe_31436_OK,4.44924,210
156,1b0y_A_Fe_626_OK,50.9244,773
157,2afi_I_Fe_48321_OK,80.7332,3012
158,1cc1_S_Fe_5881_OK,65.8696,2252
159,5bvg_C_Fe_16376_OK,79.7267,2990
160,2fug_3_Fe_73596_OK,128.026,10346
161,1b71_A_Fe_1560_OK,128.039,9792
162,1w5c_G_Fe_35594_OK,4.19783,491
163,4zlw_E_Fe_10047_OK,128.029,10141
164,2o01_C_Fe_29584_OK,128.027,59714
165,4mn9_A_Fe_1526_OK,128.013,7928
166,2fdn_A_Fe_728_OK,128.078,13529
167,2pyb_B_Fe_4990_OK,128.011,6643
168,6onc_A_Fe_18988_OK,15.4738,575
169,1l5h_B_Fe_7397_OK,72.384,3206
170,1o94_A_Fe_17665_OK,68.5281,2529
171,5lw7_B_Fe_4733_OK,8.06742,364
172,6elq_B_Fe_14356_OK,16.4048,967
173,3u44_B_Fe_19115_OK,128.01,13380
174,4cei_B_Fe_19644_OK,128.001,12546
175,5da5_d_Fe_43655_OK,99.5832,1898
176,1js2_A_Fe_2646_OK,42.7043,656
177,2ivp_A_Fe_2501_OK,128.03,11638
178,3or1_A_Fe_14491_OK,14.3641,2592
179,4wes_D_Fe_15549_OK,95.0972,3226
180,6onc_D_Fe_19060_OK,15.4502,562
181,2ynm_A_Fe_11300_OK,128.01,55722
182,1b0p_A_Fe_18772_OK,14.1296,769
183,1m1n_E_Fe_32310_OK,80.5026,2990
184,3bk7_A_Fe_4742_OK,8.06742,364
185,5fez_A_Fe_2896_OK,128.012,37264
186,1y4z_B_Fe_15778_OK,13.4524,484
187,2goy_F_Fe_14509_OK,128.035,33782
188,6f0k_B_Fe_39968_OK,27.1887,9016
189,2y8n_D_Fe_14978_OK,4.67275,52
190,2c8v_A_Fe_2052_OK,128.039,49263
191,1jqk_F_Fe_26897_OK,16.1859,932
192,1m34_B_Fe_48519_OK,72.384,3206
193,1k0t_A_Fe_1183_OK,128.071,63029
194,3e6s_E_Fe_7721_OK,128.016,10363
195,6cin_D_Fe_53270_OK,15.525,890
196,1gn9_A_Fe_8188_OK,33.7289,1332
197,4ci0_B_Fe_6874_OK,66.7838,2885
198,1m1y_P_Fe_49473_OK,128.029,53161
199,1dj7_A_Fe_1401_OK,40.1445,1018
200,2y8n_D_Fe_14979_OK,4.67275,52
201,4iub_S_Fe_6913_OK,62.3217,2315
202,3lx4_A_Fe_6209_OK,65.7642,2681
203,3e1m_K_Fe_16139_OK,128.017,18493
204,3uv3_B_Fe_4800_OK,128.025,3021
205,1unf_X_Fe_1726_OK,128.051,5254
206,1b0p_A_Fe_18779_OK,14.1296,769
207,4unf_A_Fe_1919_OK,128.047,20952
208,1gn9_A_Fe_8187_OK,33.7289,1332
209,5v8s_A_Fe_6484_OK,61.1021,1735
210,1m34_E_Fe_48579_OK,128.048,54545
211,4ceh_B_Fe_19431_OK,128.021,13124
212,4hv5_A_Fe_2087_OK,128.053,24738
213,1uwv_A_Fe_3244_OK,128.018,6279
214,1z01_C_Fe_20741_OK,78.9289,3596
215,3uof_A_Fe_7783_OK,128.004,18124
216,2pda_B_Fe_18836_OK,14.1296,769
217,1xcp_D_Fe_8780_OK,128.028,52982
218,1xcp_C_Fe_8778_OK,128.028,52982
219,1gnl_A_Fe_8299_OK,33.7098,1332
220,1qw0_A_Fe_2266_OK,128.003,56228
221,2y8n_D_Fe_14980_OK,4.67275,52
222,3wku_A_Fe_6452_OK,35.8316,2904
223,1oao_D_Fe_22040_OK,4.48826,242
224,1m34_A_Fe_48510_OK,80.489,2990
225,2fug_L_Fe_73794_OK,128.026,10358
226,2ivf_B_Fe_11762_OK,15.0967,1450
227,1js2_D_Fe_2671_OK,42.7538,654
228,1fp4_D_Fe_15862_OK,72.384,3206
229,3t7v_A_Fe_2703_OK,128.042,28582
230,4nd8_B_Fe_15989_OK,72.384,3206
231,2afh_A_Fe_20332_OK,80.7332,3012
232,4mn9_A_Fe_1524_OK,128.013,7928
233,4jc0_A_Fe_6822_OK,128.007,17115
234,4alf_B_Fe_18403_OK,51.5385,2200
235,4bmr_A_Fe_4751_OK,101.134,4185
236,5vq3_C_Fe_15328_OK,41.1499,2468
237,2fug_P_Fe_73776_OK,30.963,2862
238,2gmj_B_Fe_9168_OK,47.9543,4884
239,4ilt_A_Fe_4700_OK,128.019,5837
240,6onc_A_Fe_18981_OK,15.4738,575
241,2ivf_B_Fe_11769_OK,15.0967,1450
242,1kek_B_Fe_18845_OK,14.1296,769
243,1m34_D_Fe_48566_OK,72.384,3206
244,6onc_D_Fe_19061_OK,15.4502,562
245,1e3d_A_Fe_24419_OK,68.5618,2220
246,6elq_B_Fe_14355_OK,16.4048,967
247,1y5i_B_Fe_15755_OK,13.4524,484
248,2fdn_A_Fe_730_OK,128.078,13524
249,3cf4_A_Fe_7200_OK,9.36486,678
250,4s3a_A_Fe_3132_OK,58.9866,2612
251,3ox4_C_Fe_11327_OK,128.042,14756
252,5t5i_N_Fe_28265_OK,1.28142,913
253,5la3_B_Fe_9010_OK,46.8283,2690
254,1h1l_C_Fe_15480_OK,81.9566,2954
255,3or1_D_Fe_14661_OK,14.3641,2591
256,1m1y_O_Fe_49474_OK,128.058,53452
257,6eno_A_Fe_6898_OK,113.793,3119
258,4pl1_B_Fe_5484_OK,128.009,29635
259,2afh_C_Fe_20432_OK,80.5026,2990
260,1hip_A_Fe_619_OK,50.9684,776
261,4s2a_A_Fe_4530_OK,28.6227,1480
262,6oxh_A_Fe_4536_OK,128.018,19422
263,5jwk_A_Fe_2789_OK,128.022,5741
264,6btm_B_Fe_18797_OK,24.6067,9497
265,1kek_B_Fe_18838_OK,14.1296,769
266,5odc_H_Fe_31383_OK,128.021,10895
267,6d03_D_Fe_24803_OK,16.5699,739
268,2gmh_B_Fe_9284_OK,47.9543,4884
269,3or1_D_Fe_14654_OK,14.3161,2590
270,1q16_B_Fe_15874_OK,13.4524,484
271,2wpn_A_Fe_5843_OK,60.9907,1885
272,4s38_A_Fe_3194_OK,60.059,2612
273,3exy_A_Fe_638_OK,128.014,44860
274,2vpw_B_Fe_18773_OK,128.027,11772
275,1mjg_M_Fe_43403_OK,4.48826,242
276,4ewa_A_Fe_2247_OK,128.026,5288
277,4bgl_B_Fe_3846_OK,85.3601,1325
278,4xpi_D_Fe_16132_OK,72.8717,3208
279,1ww9_A_Fe_3138_OK,80.1089,2576
280,2ivf_A_Fe_11619_OK,128.018,10835
281,2fug_L_Fe_73793_OK,128.026,10348
282,4ci0_B_Fe_6884_OK,66.7838,2885
283,1e08_A_Fe_4986_OK,119.356,3549
284,1fp6_D_Fe_8756_OK,128.027,53631
285,1u8v_B_Fe_15312_OK,128.022,17086
286,4k36_A_Fe_6118_OK,128.006,32025
287,2vpw_B_Fe_18766_OK,128.027,11772
288,1m1y_G_Fe_49367_OK,128.058,53449
289,2hip_A_Fe_1106_OK,45.9648,752
290,4wzb_H_Fe_24157_OK,128.004,55801
291,5t5i_F_Fe_28055_OK,4.26327,921
292,1k0t_A_Fe_1182_OK,128.071,63030
293,1jnr_B_Fe_12823_OK,32.4975,1937
294,6eno_A_Fe_6900_OK,113.793,3119
295,5la3_A_Fe_8965_OK,46.8678,2702
296,1hfe_L_Fe_7797_OK,108.296,3225
297,1l5h_B_Fe_7386_OK,72.384,3206
298,5la3_B_Fe_9011_OK,46.8283,2690
