,site,length,neff
0,1a0b_A_Zn_921_OK,117,10.800000190734863
1,1a7w_A_Zn_535_OK,68,9.100000381469727
2,1a8l_A_Zn_1813_OK,226,11.699999809265135
3,1aa0_A_Zn_1039_OK,113,3.0
4,1agn_A_Zn_11163_OK,373,11.0
5,1agn_D_Zn_11339_OK,373,11.0
6,1agn_D_Zn_11340_OK,373,11.100000381469727
7,1ak0_A_Zn_2082_OK,264,9.199999809265137
8,1aol_A_Zn_1815_OK,228,5.400000095367432
9,1aol_A_Zn_1816_OK,228,5.400000095367432
10,1aol_A_Zn_1817_OK,228,5.400000095367432
11,1au1_A_Zn_3625_OK,166,6.800000190734862
12,1au1_B_Zn_3625_OK,163,6.800000190734862
13,1aw5_A_Zn_2530_OK,326,5.699999809265138
14,1b0n_A_Zn_1115_OK,103,10.5
15,1b0n_A_Zn_1116_OK,103,10.600000381469727
16,1b0n_A_Zn_1117_OK,103,10.699999809265137
17,1b0n_A_Zn_1118_OK,103,10.600000381469727
18,1b0n_A_Zn_1119_OK,103,10.800000190734863
19,1b0n_B_Zn_1115_OK,31,6.5
20,1b0n_B_Zn_1117_OK,31,6.5
21,1b0n_B_Zn_1119_OK,31,6.5
22,1b57_A_Zn_5253_OK,346,6.5999999046325675
23,1b57_A_Zn_5254_OK,346,6.699999809265138
24,1baw_A_Zn_2424_OK,105,11.5
25,1baw_C_Zn_2424_OK,105,11.5
26,1bc8_C_Zn_1199_OK,93,6.9000000953674325
27,1bfv_H_Zn_1799_OK,119,11.0
28,1bfv_L_Zn_1797_OK,113,11.199999809265137
29,1bfv_L_Zn_1798_OK,113,11.199999809265137
30,1bt0_A_Zn_574_OK,73,12.0
31,1bt0_A_Zn_575_OK,73,11.899999618530273
32,1bxz_B_Zn_10585_OK,352,11.100000381469727
33,1byf_A_Zn_1932_OK,123,12.100000381469727
34,1byf_B_Zn_1960_OK,123,12.100000381469727
35,1byf_B_Zn_1963_OK,123,12.100000381469727
36,1c2d_A_Zn_3304_OK,223,12.0
37,1c2h_A_Zn_3288_OK,223,11.899999618530273
38,1c2h_A_Zn_3289_OK,223,12.0
39,1c2l_A_Zn_3325_OK,223,12.100000381469727
40,1c8y_A_Zn_2015_OK,265,9.199999809265137
41,1caz_A_Zn_2078_OK,258,9.199999809265137
42,1cg2_A_Zn_11129_OK,389,10.600000381469727
43,1cg2_A_Zn_11130_OK,389,10.600000381469727
44,1cg2_C_Zn_11129_OK,389,10.600000381469727
45,1ci3_M_Zn_1888_OK,249,3.2999999523162837
46,1ci3_M_Zn_1889_OK,249,3.2999999523162837
47,1cjv_C_Zn_5711_OK,329,10.0
48,1cko_A_Zn_2563_OK,317,8.899999618530273
49,1cpr_A_Zn_921_OK,129,8.800000190734863
50,1cpr_A_Zn_925_OK,129,8.800000190734863
51,1cpr_A_Zn_926_OK,129,8.800000190734863
52,1cvr_A_Zn_3387_OK,432,9.300000190734863
53,1cvr_A_Zn_3389_OK,432,9.300000190734863
54,1cy5_A_Zn_748_OK,93,9.300000190734863
55,1cy5_A_Zn_749_OK,93,9.300000190734863
56,1cy5_A_Zn_750_OK,93,9.300000190734863
57,1cy5_A_Zn_751_OK,93,9.300000190734863
58,1cy5_A_Zn_752_OK,93,9.300000190734863
59,1cyy_A_Zn_3953_OK,250,8.300000190734862
60,1czf_A_Zn_4935_OK,335,8.800000190734863
61,1czf_A_Zn_4936_OK,335,8.800000190734863
62,1czf_B_Zn_4952_OK,335,8.800000190734863
63,1czf_B_Zn_4954_OK,335,8.800000190734863
64,1d1t_A_Zn_11166_OK,373,10.899999618530273
65,1d1t_B_Zn_11236_OK,373,10.899999618530273
66,1d1t_D_Zn_11368_OK,373,10.899999618530273
67,1d8y_A_Zn_4809_OK,601,10.300000190734863
68,1d9d_A_Zn_4866_OK,601,10.300000190734863
69,1d9z_A_Zn_4635_OK,590,10.100000381469727
70,1d9z_A_Zn_4636_OK,590,10.100000381469727
71,1def_A_Zn_2353_OK,147,7.4000000953674325
72,1dg6_A_Zn_1251_OK,149,8.600000381469728
73,1dkh_A_Zn_1254_OK,172,6.5
74,1dkh_A_Zn_1255_OK,172,6.5
75,1dq3_A_Zn_3757_OK,454,11.199999809265137
76,1dv6_T_Zn_13915_OK,246,5.099999904632568
77,1dvf_B_Zn_3500_OK,116,10.899999618530273
78,1dy0_A_Zn_1403_OK,180,7.800000190734862
79,1dy1_A_Zn_1423_OK,183,7.699999809265138
80,1e08_D_Zn_5015_OK,88,6.5
81,1e87_A_Zn_1030_OK,117,11.600000381469727
82,1ebo_A_Zn_5335_OK,112,3.2000000476837163
83,1ebo_D_Zn_5333_OK,112,3.2000000476837163
84,1ebo_F_Zn_5334_OK,113,3.2000000476837163
85,1efq_A_Zn_862_OK,113,11.5
86,1ekb_B_Zn_1915_OK,235,12.300000190734865
87,1ekb_B_Zn_1916_OK,235,12.300000190734865
88,1et8_A_Zn_2587_OK,339,10.100000381469727
89,1ete_A_Zn_4277_OK,134,3.400000095367432
90,1ete_A_Zn_4278_OK,134,3.400000095367432
91,1ete_B_Zn_4279_OK,134,3.400000095367432
92,1ete_B_Zn_4280_OK,134,3.400000095367432
93,1ete_B_Zn_4281_OK,134,3.400000095367432
94,1euc_B_Zn_5257_OK,393,9.100000381469727
95,1f1m_C_Zn_4904_OK,162,3.5999999046325684
96,1f1m_D_Zn_4905_OK,162,3.5999999046325684
97,1f35_A_Zn_2642_OK,162,2.0999999046325684
98,1f35_A_Zn_2643_OK,162,2.0999999046325684
99,1f35_A_Zn_2644_OK,162,2.0999999046325684
100,1f35_A_Zn_2645_OK,162,2.0999999046325684
101,1f35_A_Zn_2654_OK,162,2.0999999046325684
102,1f35_A_Zn_2655_OK,162,2.0999999046325684
103,1f35_B_Zn_2652_OK,162,2.0999999046325684
104,1f35_B_Zn_2653_OK,162,2.0999999046325684
105,1f35_B_Zn_2654_OK,162,2.0999999046325684
106,1f35_B_Zn_2655_OK,162,2.0999999046325684
107,1f3z_A_Zn_1109_OK,150,8.5
108,1f4t_A_Zn_6039_OK,367,11.399999618530273
109,1f4t_B_Zn_6039_OK,367,11.399999618530273
110,1f5f_A_Zn_1370_OK,172,10.899999618530273
111,1fd9_A_Zn_1549_OK,204,9.399999618530273
112,1fd9_A_Zn_1550_OK,204,9.399999618530273
113,1fio_A_Zn_1555_OK,190,9.699999809265137
114,1fio_A_Zn_1556_OK,190,9.699999809265137
115,1fr9_A_Zn_1449_OK,185,10.800000190734863
116,1fss_A_Zn_4706_OK,532,10.699999809265137
117,1fss_A_Zn_4707_OK,532,10.699999809265137
118,1fuk_A_Zn_1266_OK,157,10.899999618530273
119,1g43_A_Zn_1215_OK,160,8.899999618530273
120,1g9c_A_Zn_10589_OK,1287,5.0
121,1gen_A_Zn_1959_OK,200,10.100000381469727
122,1ghq_A_Zn_4438_OK,307,10.5
123,1gl4_A_Zn_2806_OK,273,7.0
124,1gr0_A_Zn_2552_OK,328,6.5
125,1gs8_A_Zn_2591_OK,336,10.0
126,1gud_A_Zn_4268_OK,288,12.199999809265135
127,1gud_A_Zn_4269_OK,288,12.199999809265135
128,1gud_A_Zn_4270_OK,288,12.199999809265135
129,1gud_A_Zn_4271_OK,288,12.199999809265135
130,1gud_B_Zn_4270_OK,288,12.199999809265135
131,1gud_B_Zn_4272_OK,288,12.199999809265135
132,1gud_B_Zn_4273_OK,288,12.199999809265135
133,1gud_B_Zn_4274_OK,288,12.199999809265135
134,1gud_B_Zn_4275_OK,288,12.199999809265135
135,1h1o_A_Zn_2812_OK,172,10.600000381469727
136,1h1o_B_Zn_2812_OK,170,10.600000381469727
137,1h1o_B_Zn_2813_OK,170,10.699999809265137
138,1h2b_A_Zn_5389_OK,343,11.199999809265137
139,1hfe_S_Zn_7780_OK,88,6.5
140,1hfe_T_Zn_7780_OK,88,6.5
141,1hk8_A_Zn_4475_OK,561,7.9000000953674325
142,1hkk_A_Zn_2959_OK,364,10.600000381469727
143,1hkk_A_Zn_2960_OK,364,10.600000381469727
144,1hml_A_Zn_986_OK,123,6.5
145,1hp7_A_Zn_2987_OK,376,10.199999809265137
146,1hp7_A_Zn_2988_OK,376,10.199999809265137
147,1hp7_A_Zn_2989_OK,376,10.199999809265137
148,1hp7_A_Zn_2990_OK,376,10.199999809265137
149,1hp7_A_Zn_2991_OK,376,10.199999809265137
150,1hw7_A_Zn_1817_OK,229,8.5
151,1hz5_B_Zn_1143_OK,72,2.5
152,1hz5_B_Zn_1144_OK,72,2.5
153,1hzx_A_Zn_5264_OK,340,11.899999618530273
154,1i27_A_Zn_618_OK,73,4.900000095367432
155,1i7w_A_Zn_8686_OK,500,12.100000381469727
156,1i9r_K_Zn_13178_OK,219,11.899999618530273
157,1iau_A_Zn_1920_OK,226,11.899999618530273
